,MKT,SMB,HML,RMW,CMA
1969-06-30,-0.0054,0.0011,-0.0003,0.0026,-0.0032
1969-07-31,0.0046,0.0036,-0.005699999999999999,-0.0042,-0.0038
1969-08-31,0.0197,0.0066,-0.004699999999999999,-0.0029,-0.0068000000000000005
1969-09-30,-0.0011,-0.0006,0.0042,-0.0025,0.0021
1969-10-31,-0.0063,0.0016,0.0024,-0.0006,0.0013
1969-11-30,-0.0007000000000000001,-0.0025,0.0023,-0.0002,0.0025
1969-12-31,-0.0076,-0.0046,0.0024,0.0064,0.0017000000000000001
1970-01-31,0.0118,0.013600000000000001,0.0101,-0.0113,0.0043
1970-02-28,0.008199999999999999,-0.0063,-0.001,0.0015,0.0007000000000000001
1970-03-31,0.0013,-0.0015,0.006500000000000001,0.0006,0.0074
1970-04-30,0.0045000000000000005,-0.0008,0.0003,-0.0033,-0.0017000000000000001
1970-05-31,-0.0014000000000000002,0.0001,0.0011,-0.0006,0.0048
1970-06-30,0.0183,0.01,-0.0165,0.0005,-0.016
1970-07-31,0.0033,-0.006,-0.0028000000000000004,0.0034999999999999996,0.0024
1970-08-31,-0.012199999999999999,0.0014000000000000002,0.0051,-0.0005,0.0034000000000000002
1970-09-30,-0.0064,0.0002,0.0027,-0.0029,0.0031
1970-10-31,0.0012,-0.0028000000000000004,-0.0011,0.0027,0.0004
1970-11-30,0.0032,-0.0003,-0.0019,0.0045000000000000005,-0.002
1970-12-31,0.0029,-0.0004,0.0015,-0.0023,-0.001
1971-01-31,-0.009899999999999999,0.0058,0.006500000000000001,-0.0054,0.004
1971-02-28,0.0067,0.006999999999999999,-0.0019,-0.0013,0.0006
1971-03-31,0.003,0.0022,-0.0026,-0.0009,-0.0043
1971-04-30,0.0006,-0.0002,-0.0018,0.0014000000000000002,0.0001
1971-05-31,-0.005699999999999999,0.002,-0.0021,0.0013,-0.0013
1971-06-30,0.0060999999999999995,-0.0008,-0.0007000000000000001,-0.0005,-0.0033
1971-07-31,0.001,0.001,-0.0003,-0.0005,-0.0005
1971-08-31,0.0049,0.0037,0.0078000000000000005,-0.006,0.0031
1971-09-30,0.0004,0.0002,0.0014000000000000002,-0.0029,0.0016
1971-10-31,0.0060999999999999995,0.0013,-0.0022,0.0014000000000000002,0.0004
1971-11-30,-0.0148,-0.0001,-0.0015,0.0027,0.002
1971-12-31,0.0173,0.0040999999999999995,-0.0029,-0.0002,0.0008
1972-01-31,-0.0037,0.0072,0.0062,-0.0066,0.003
1972-02-29,0.0014000000000000002,0.0046,-0.0043,0.0018,-0.0040999999999999995
1972-03-31,0.008,-0.001,-0.0054,0.0015,0.0040999999999999995
1972-04-30,0.0023,-0.0016,-0.0014000000000000002,-0.0014000000000000002,-0.0029
1972-05-31,-0.0091,-0.0018,0.0019,-0.0002,0.0004
1972-06-30,0.0022,0.0006,-0.0007000000000000001,-0.0001,-0.0014000000000000002
1972-07-31,0.0034000000000000002,0.0003,0.0008,-0.002,-0.0017000000000000001
1972-08-31,0.009300000000000001,-0.0048,-0.0053,0.0033,-0.002
1972-09-30,0.004,0.0012,-0.0013,0.0018,-0.0004
1972-10-31,-0.0032,0.0005,0.0023,-0.0011,-0.0003
1972-11-30,0.0102,-0.004,-0.0004,0.0013,0.0
1972-12-31,0.006500000000000001,0.0031,-0.002,0.0001,-0.0022
1973-01-31,0.0087,0.0083,0.0,-0.003,0.0031
1973-02-28,-0.0116,-0.0012,0.0018,0.0003,-0.0018
1973-03-31,-0.006999999999999999,0.001,0.004699999999999999,-0.0025,0.0028000000000000004
1973-04-30,-0.012,0.0007000000000000001,0.0064,0.0001,0.0033
1973-05-31,0.0002,-0.0034999999999999996,0.0003,0.0,-0.0032
1973-06-30,-0.0095,-0.0011,0.0064,-0.0033,0.0046
1973-07-31,-0.012,0.0062,0.006,-0.0025,0.002
1973-08-31,-0.0131,-0.0022,0.0043,-0.0011,0.0005
1973-09-30,0.0037,0.0001,0.0043,-0.0048,0.0026
1973-10-31,-0.0016,0.0066,0.0069,-0.0031,0.0052
1973-11-30,-0.0058,-0.001,-0.0022,0.0006,0.0006
1973-12-31,-0.0206,-0.0032,0.0022,-0.0008,0.0001
1974-01-31,0.0026,0.0141,0.0113,-0.0097,0.0052
1974-02-28,-0.0123,0.005600000000000001,0.0033,-0.0008,0.0003
1974-03-31,-0.0060999999999999995,0.0075,0.0034999999999999996,-0.0006,0.0008
1974-04-30,-0.0079,0.0033,0.0036,-0.0008,0.0031
1974-05-31,0.0195,-0.009399999999999999,-0.005699999999999999,0.0022,0.0009
1974-06-30,0.018600000000000002,-0.0079,-0.0008,-0.0007000000000000001,0.0027
1974-07-31,-0.0018,-0.0042,0.0018,-0.0033,0.0
1974-08-31,-0.0066,0.0008,0.004,-0.0012,0.0025
1974-09-30,-0.0218,0.008,0.0083,-0.0037,0.0104
1974-10-31,-0.0023,-0.0043,0.0,0.0019,-0.0032
1974-11-30,-0.0003,0.0016,0.0005,-0.0033,0.0023
1974-12-31,-0.025099999999999997,0.006999999999999999,0.0058,-0.003,0.0064
1975-01-31,0.0248,0.0054,0.013600000000000001,-0.008100000000000001,0.0021
1975-02-28,0.0124,0.0040999999999999995,0.0015,-0.0009,0.0012
1975-03-31,0.0171,-0.004699999999999999,0.003,0.0006,-0.0022
1975-04-30,-0.008100000000000001,0.0005,-0.0032,-0.0003,0.0007000000000000001
1975-05-31,0.0085,-0.0025,-0.0052,0.0016,0.0012
1975-06-30,0.014199999999999999,-0.0022,0.0015,-0.0023,0.0012
1975-07-31,-0.0040999999999999995,0.0034000000000000002,0.0032,-0.001,0.0002
1975-08-31,-0.0098,0.0013,0.0025,0.0002,0.001
1975-09-30,-0.015600000000000001,0.0053,0.002,-0.003,0.0026
1975-10-31,-0.0116,0.0004,-0.0008,-0.0042,0.0037
1975-11-30,-0.009399999999999999,0.0045000000000000005,-0.0001,-0.0029,0.0012
1975-12-31,-0.0059,0.0015,0.0013,-0.0001,0.0001
1976-01-31,0.0079,0.0019,0.0123,-0.0049,0.0033
1976-02-29,0.0014000000000000002,0.0033,0.0024,0.0005,0.0034000000000000002
1976-03-31,0.0032,-0.0008,0.004699999999999999,-0.003,0.0016
1976-04-30,-0.0043,0.0043,-0.0026,0.0015,-0.0012
1976-05-31,-0.0083,-0.001,-0.0037,0.0016,-0.0019
1976-06-30,-0.0028000000000000004,-0.0003,0.0017000000000000001,-0.0024,-0.0008
1976-07-31,-0.0067,0.0039000000000000003,0.0013,-0.0008,-0.002
1976-08-31,-0.0015,-0.0006,0.0025,-0.0004,0.001
1976-09-30,0.0102,-0.0024,-0.0037,0.0016,-0.0029
1976-10-31,-0.0092,0.0033,0.0017000000000000001,-0.0005,-0.0016
1976-11-30,0.0023,-0.0002,0.0017000000000000001,-0.0014000000000000002,0.0013
1976-12-31,0.0043,0.0008,0.0007000000000000001,-0.0015,0.0019
1977-01-31,-0.0032,0.0067,0.0068000000000000005,-0.0017000000000000001,0.004699999999999999
1977-02-28,0.005,0.001,-0.001,0.0017000000000000001,-0.0026
1977-03-31,0.0085,-0.002,-0.0021,0.0022,-0.0025
1977-04-30,0.0075,-0.0027,0.0,0.0017000000000000001,-0.0003
1977-05-31,0.0053,-0.002,-0.0012,0.0012,0.0009
1977-06-30,0.0074,-0.0031,-0.0016,0.0003,0.0002
1977-07-31,-0.0026,0.0055000000000000005,0.0019,-0.0007000000000000001,0.0004
1977-08-31,0.0034999999999999996,-0.0022,-0.0004,0.0013,-0.0011
1977-09-30,0.0014000000000000002,0.0039000000000000003,0.0021,-0.0002,0.0014000000000000002
1977-10-31,0.0028000000000000004,0.0004,0.0012,0.0,0.0007000000000000001
1977-11-30,-0.0098,0.0024,0.0043,-0.0021,0.0012
1977-12-31,0.0005,0.0058,0.0009,0.0009,0.0007000000000000001
1978-01-31,-0.0129,0.0046,0.0068000000000000005,-0.0062,0.0011
1978-02-28,0.0078000000000000005,0.0013,-0.0037,0.0042,-0.0017000000000000001
1978-03-31,0.001,-0.0011,-0.0002,0.0007000000000000001,0.0012
1978-04-30,-0.0070999999999999995,0.0017000000000000001,0.0024,-0.0014000000000000002,-0.0002
1978-05-31,0.0084,-0.0014000000000000002,-0.0031,0.0042,-0.0028000000000000004
1978-06-30,0.0011,0.0002,-0.0009,0.0012,-0.0005
1978-07-31,-0.0031,0.0032,0.0006,0.0,-0.0016
1978-08-31,0.0012,-0.0001,-0.0001,-0.0017000000000000001,0.0001
1978-09-30,0.004,-0.0021,0.0006,0.0016,0.0042
1978-10-31,0.0032,-0.001,-0.0005,0.0019,-0.0016
1978-11-30,0.0412,0.0063,-0.0167,0.0134,-0.011899999999999999
1978-12-31,0.015700000000000002,0.0009,-0.006999999999999999,0.0054,-0.0029
1979-01-31,0.0058,-0.0012,0.0044,-0.004,0.005
1979-02-28,0.0004,-0.0017000000000000001,-0.0003,-0.0004,0.001
1979-03-31,0.0067,-0.0005,0.0002,-0.0005,0.0012
1979-04-30,-0.0068000000000000005,0.0028000000000000004,0.0014000000000000002,0.0014000000000000002,0.001
1979-05-31,-0.0002,0.0007000000000000001,0.0009,0.0008,-0.0009
1979-06-30,0.001,0.0016,-0.0012,-0.0002,-0.001
1979-07-31,-0.0091,-0.0004,0.0048,-0.0026,0.0036
1979-08-31,0.0034999999999999996,0.0024,-0.0016,0.0033,0.0006
1979-09-30,-0.0161,0.0015,0.0034999999999999996,-0.0028000000000000004,0.002
1979-10-31,-0.0058,0.0032,-0.0019,-0.0023,-0.001
1979-11-30,0.0079,-0.0014000000000000002,-0.0019,0.0015,-0.0008
1979-12-31,-0.003,0.0014000000000000002,0.0019,-0.001,0.0014000000000000002
1980-01-31,-0.020499999999999997,0.0019,0.0108,-0.010700000000000001,0.008
1980-02-29,0.0066,-0.003,0.0014000000000000002,0.0023,0.003
1980-03-31,-0.009399999999999999,0.0023,0.0001,-0.0029,-0.0005
1980-04-30,0.0032,0.0086,-0.0012,-0.0024,-0.005600000000000001
1980-05-31,-0.0066,0.0033,0.003,0.0029,0.0001
1980-06-30,-0.0025,0.0028000000000000004,0.0003,0.0005,-0.0011
1980-07-31,0.0055000000000000005,-0.0015,-0.0069,0.0034000000000000002,-0.0024
1980-08-31,-0.0018,0.0086,-0.0031,0.0014000000000000002,0.0013
1980-09-30,0.009899999999999999,-0.0021,-0.0003,0.001,-0.0012
1980-10-31,0.0131,-0.0046,-0.015700000000000002,0.0109,-0.0128
1980-11-30,0.011000000000000001,-0.005600000000000001,-0.0079,0.0059,-0.0042
1980-12-31,-0.022099999999999998,0.009300000000000001,0.0034999999999999996,-0.0003,0.0036
1981-01-31,0.005600000000000001,0.0034000000000000002,0.0062,-0.0049,0.0023
1981-02-28,-0.0225,-0.0017000000000000001,0.0178,-0.003,0.0105
1981-03-31,0.006,-0.0002,-0.0043,0.0002,-0.0046
1981-04-30,0.0049,0.002,0.0,0.0009,0.0006
1981-05-31,-0.0017000000000000001,-0.0002,-0.0029,0.0009,-0.0018
1981-06-30,-0.0023,0.0032,0.0036,-0.0001,0.0044
1981-07-31,-0.0098,0.0024,0.0001,-0.0009,-0.0001
1981-08-31,-0.0034000000000000002,-0.0017000000000000001,0.001,0.0031,-0.0013
1981-09-30,0.0013,-0.0053,-0.0011,0.0016,-0.0001
1981-10-31,0.0066,-0.0003,-0.0083,0.0042,-0.0048
1981-11-30,0.0189,-0.006500000000000001,-0.013600000000000001,0.0059,-0.0079
1981-12-31,-0.0023,0.001,0.001,-0.0013,0.0054
1982-01-31,0.0016,-0.0004,0.0058,-0.0053,0.0031
1982-02-28,-0.0179,0.0095,0.008,-0.0027,0.0079
1982-03-31,0.0024,-0.0009,0.0031,-0.0040999999999999995,0.0048
1982-04-30,0.0137,-0.005,-0.01,0.002,-0.0029
1982-05-31,0.0027,-0.0031,0.0005,-0.0007000000000000001,-0.0008
1982-06-30,-0.0039000000000000003,-0.0022,-0.0015,0.0012,-0.0049
1982-07-31,-0.0079,0.0034999999999999996,0.0054,-0.0019,0.0043
1982-08-31,0.015600000000000001,-0.0104,-0.0013,-0.0007000000000000001,0.0002
1982-09-30,-0.0088,0.0053,0.0052,-0.0004,0.0052
1982-10-31,0.011000000000000001,-0.0060999999999999995,0.0001,-0.0027,0.0011
1982-11-30,0.0115,-0.0052,-0.003,0.0003,-0.0014000000000000002
1982-12-31,0.0034000000000000002,0.0095,-0.0063,0.0045000000000000005,0.0003
1983-01-31,-0.014499999999999999,0.0085,0.009899999999999999,-0.0019,0.0028000000000000004
1983-02-28,-0.0115,0.0096,0.006500000000000001,-0.0031,0.0040999999999999995
1983-03-31,0.0154,-0.0116,0.0054,-0.0029,0.0049
1983-04-30,-0.0007000000000000001,-0.0046,0.0029,0.0045000000000000005,0.0001
1983-05-31,-0.0125,0.0068000000000000005,0.0028000000000000004,0.0,0.0021
1983-06-30,0.0001,-0.0028000000000000004,-0.003,0.0024,0.0018
1983-07-31,0.005600000000000001,0.0024,-0.0013,0.0003,-0.0014000000000000002
1983-08-31,-0.0052,-0.0073,0.0028000000000000004,0.0021,0.0003
1983-09-30,-0.0001,0.0032,-0.0017000000000000001,0.0,-0.0025
1983-10-31,-0.0029,-0.0040999999999999995,0.0021,0.0014000000000000002,0.0003
1983-11-30,-0.0003,-0.0062,0.0006,0.0036,-0.0011
1983-12-31,0.0003,-0.0003,0.0026,0.0008,0.0024
1984-01-31,-0.004699999999999999,0.0051,0.0009,-0.0003,-0.001
1984-02-29,-0.0049,-0.0013,0.0025,0.0023,0.0003
1984-03-31,0.0066,-0.0025,0.0001,-0.0005,-0.0021
1984-04-30,-0.0068000000000000005,0.0036,0.0038,0.0017000000000000001,0.0001
1984-05-31,0.0101,-0.0044,-0.0033,-0.0006,-0.0034999999999999996
1984-06-30,0.0165,-0.006,-0.0055000000000000005,-0.0019,0.0005
1984-07-31,-0.0016,-0.0024,0.0036,0.0025,0.0001
1984-08-31,0.0202,-0.0074,-0.0077,-0.0017000000000000001,-0.0063
1984-09-30,-0.009000000000000001,0.0034999999999999996,0.0040999999999999995,0.0014000000000000002,0.0031
1984-10-31,-0.0084,0.0009,0.0074,0.0017000000000000001,0.0053
1984-11-30,0.0068000000000000005,-0.004699999999999999,0.0024,0.0006,0.0014000000000000002
1984-12-31,-0.0048,-0.0003,0.0034999999999999996,0.0031,0.0018
1985-01-31,-0.009300000000000001,0.0073,0.0026,-0.0011,0.0024
1985-02-28,-0.0045000000000000005,0.0028000000000000004,0.0037,-0.0007000000000000001,0.0042
1985-03-31,0.0104,-0.0022,-0.0034000000000000002,0.0025,0.0014000000000000002
1985-04-30,0.0028000000000000004,-0.0019,0.0,0.0009,-0.0031
1985-05-31,-0.0067,0.0045000000000000005,0.0055000000000000005,0.0006,-0.0004
1985-06-30,0.0005,0.0008,-0.0017000000000000001,0.002,-0.0033
1985-07-31,0.0027,-0.0004,-0.0012,0.0019,-0.0023
1985-08-31,0.0069,-0.0006,-0.0044,-0.0008,-0.0018
1985-09-30,-0.0043,-0.0015,0.0008,0.0034999999999999996,-0.0016
1985-10-31,0.013600000000000001,-0.0087,0.0002,0.0032,-0.0002
1985-11-30,0.0073,-0.0032,-0.0022,0.0006,0.0007000000000000001
1985-12-31,-0.0075,0.005699999999999999,-0.0001,-0.0003,-0.0012
1986-01-31,-0.0063,0.0088,0.0039000000000000003,-0.0040999999999999995,0.0033
1986-02-28,0.009300000000000001,-0.0054,-0.006,0.004,-0.0023
1986-03-31,-0.0039000000000000003,0.0066,0.0,0.0003,0.0019
1986-04-30,-0.0121,0.009300000000000001,0.0034000000000000002,0.0072,0.0013
1986-05-31,-0.002,-0.0023,0.0028000000000000004,0.0,0.0011
1986-06-30,-0.0075,0.005600000000000001,0.0005,0.0042,-0.0021
1986-07-31,0.004699999999999999,0.0001,-0.0058,0.0043,-0.0029
1986-08-31,-0.0043,0.0032,0.0040999999999999995,-0.0002,0.001
1986-09-30,-0.0141,0.0086,0.0075,-0.0002,0.0053
1986-10-31,0.0083,-0.0042,-0.0012,-0.0024,0.0006
1986-11-30,0.006,-0.0069,-0.0011,0.0007000000000000001,-0.0014000000000000002
1986-12-31,-0.0016,-0.0049,-0.001,-0.0001,-0.0011
1987-01-31,0.0179,-0.0026,-0.0002,-0.0016,0.0018
1987-02-28,0.0097,0.0027,-0.0036,0.0002,-0.003
1987-03-31,-0.0022,0.0025,0.0029,0.0005,-0.0029
1987-04-30,0.0008,-0.0066,-0.0009,0.0019,0.0034999999999999996
1987-05-31,-0.0013,0.0007000000000000001,0.0022,0.0011,-0.0001
1987-06-30,-0.0004,-0.0006,0.0026,0.0027,-0.0015
1987-07-31,-0.0024,0.0012,0.0016,-0.0033,0.0031
1987-08-31,-0.0038,0.0005,0.0063,-0.0025,0.0092
1987-09-30,-0.0159,0.0104,-0.0006,-0.0007000000000000001,-0.0009
